FID,STATEFP00,COUNTYFP00,TRACTCE00,BLKGRPCE00,BKGPIDFP00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00,OID_,Field1,GEOID,GEO_label,total_x,under_50,from_50_to,from_75_to,from_100_t,from_125_t,from_150_t,from_175_t,from_185_t,from_200_u,below_200,fraction_b,over_30_un,total_y,not_Hispan,non_HL_whi,non_HL_Bla,non_HL_AIA,non_HL_Asi,non_HL_NHO,non_HL_oth,non_HL_2_p,HL,HL_white,HL_Black,HL_AIAN,HL_Asian,HL_NHOPI,HL_other,HL_2_plus,percent_wh,percent_Bl,percent_HL,percent_AI,percent_As,percent_NH,percent_ot,GEOID2_Tex
27,09,001,021400,3,090010214003,Block Group 3,G5030,S,394282.000000000000000,0.000000000000000,+41.0465636,-073.5595989,100,101,1500000US090010214003,"Block Group 3, Census Tract 214, Fairfield County, Connecticut",1170,141,54,64,71,52,71,0,66,651,519,0,yes,1170,663,279,314,0,60,0,0,10,507,291,0,0,0,0,216,0,0,0,0,0,0,0,0,090010214003
28,09,001,021400,5,090010214005,Block Group 5,G5030,S,873259.000000000000000,0.000000000000000,+41.0540652,-073.5625263,101,102,1500000US090010214005,"Block Group 5, Census Tract 214, Fairfield County, Connecticut",2548,196,29,59,50,99,91,74,24,1926,622,0,no,2632,1897,1019,597,17,82,0,0,182,735,236,30,0,0,0,383,86,0,0,0,0,0,0,0,090010214005
29,09,001,021400,2,090010214002,Block Group 2,G5030,S,155522.000000000000000,0.000000000000000,+41.0506167,-073.5559239,99,100,1500000US090010214002,"Block Group 2, Census Tract 214, Fairfield County, Connecticut",1262,33,7,27,12,200,8,26,25,924,338,0,no,1272,652,240,412,0,0,0,0,0,620,332,26,0,0,0,198,64,0,0,0,0,0,0,0,090010214002
30,09,001,021400,1,090010214001,Block Group 1,G5030,S,220226.000000000000000,0.000000000000000,+41.0545215,-073.5539346,98,99,1500000US090010214001,"Block Group 1, Census Tract 214, Fairfield County, Connecticut",1166,150,81,48,188,85,102,108,59,345,821,1,yes,1283,1157,238,857,0,0,0,0,62,126,26,9,0,0,0,69,22,0,1,0,0,0,0,0,090010214001
31,09,001,021500,4,090010215004,Block Group 4,G5030,S,167799.000000000000000,0.000000000000000,+41.0499185,-073.5520020,105,106,1500000US090010215004,"Block Group 4, Census Tract 215, Fairfield County, Connecticut",1763,85,77,109,123,73,89,48,70,1089,674,0,yes,1763,1143,129,992,22,0,0,0,0,620,162,23,0,0,0,341,94,0,1,0,0,0,0,0,090010215004
32,09,001,021500,2,090010215002,Block Group 2,G5030,S,177119.000000000000000,0.000000000000000,+41.0502977,-073.5477135,103,104,1500000US090010215002,"Block Group 2, Census Tract 215, Fairfield County, Connecticut",1702,102,34,100,83,245,57,108,104,869,833,0,yes,1702,1101,76,974,0,25,0,0,26,601,390,9,0,0,0,118,84,0,1,0,0,0,0,0,090010215002
33,09,001,021500,3,090010215003,Block Group 3,G5030,S,233076.000000000000000,0.000000000000000,+41.0465176,-073.5504322,104,105,1500000US090010215003,"Block Group 3, Census Tract 215, Fairfield County, Connecticut",1812,97,84,59,140,135,152,103,20,1022,790,0,yes,1812,1047,259,684,51,0,0,43,10,765,357,52,0,0,0,335,21,0,0,0,0,0,0,0,090010215003
34,09,001,021500,1,090010215001,Block Group 1,G5030,S,187758.000000000000000,0.000000000000000,+41.0539497,-073.5481508,102,103,1500000US090010215001,"Block Group 1, Census Tract 215, Fairfield County, Connecticut",1641,147,20,87,188,71,75,103,42,908,733,0,yes,1641,752,329,417,6,0,0,0,0,889,346,0,0,0,0,461,82,0,0,1,0,0,0,0,090010215001
35,09,001,030500,1,090010305001,Block Group 1,G5030,S,2243965.000000000000000,0.000000000000000,+41.0748466,-073.4949151,149,150,1500000US090010305001,"Block Group 1, Census Tract 305, Fairfield County, Connecticut",2501,63,8,0,0,16,8,27,23,2356,145,0,no,2501,2419,2362,15,0,42,0,0,0,82,61,0,0,0,8,13,0,1,0,0,0,0,0,0,090010305001
36,09,001,030500,4,090010305004,Block Group 4,G5030,S,1850409.000000000000000,5422.000000000000000,+41.0865134,-073.5096969,151,152,1500000US090010305004,"Block Group 4, Census Tract 305, Fairfield County, Connecticut",1593,6,0,9,0,5,19,0,0,1554,39,0,no,1593,1581,1473,6,0,49,0,0,53,12,4,8,0,0,0,0,0,1,0,0,0,0,0,0,090010305004
37,09,001,105100,9,090011051009,Block Group 9,G5030,S,23889987.000000000000000,1260489.000000000000000,+41.2410999,-073.3142147,504,505,1500000US090011051009,"Block Group 9, Census Tract 1051, Fairfield County, Connecticut",1364,5,51,12,6,7,87,0,0,1196,168,0,no,1364,1322,1306,0,0,16,0,0,0,42,42,0,0,0,0,0,0,1,0,0,0,0,0,0,090011051009
38,09,001,105100,1,090011051001,Block Group 1,G5030,S,7798538.000000000000000,0.000000000000000,+41.2344614,-073.2604102,503,504,1500000US090011051001,"Block Group 1, Census Tract 1051, Fairfield County, Connecticut",2706,16,3,6,0,49,11,0,6,2615,91,0,no,2706,2654,2592,0,0,38,11,0,13,52,45,3,0,0,0,0,4,1,0,0,0,0,0,0,090011051001
39,09,001,105200,9,090011052009,Block Group 9,G5030,S,39308340.000000000000000,1945200.000000000000000,+41.2806799,-073.2995681,505,506,1500000US090011052009,"Block Group 9, Census Tract 1052, Fairfield County, Connecticut",3197,58,0,24,19,7,85,21,8,2975,222,0,no,3202,3151,3028,0,18,88,0,0,17,51,13,0,0,0,0,38,0,1,0,0,0,0,0,0,090011052009
40,09,001,060100,2,090010601002,Block Group 2,G5030,S,934695.000000000000000,0.000000000000000,+41.2045537,-073.2334531,274,275,1500000US090010601002,"Block Group 2, Census Tract 601, Fairfield County, Connecticut",1359,0,0,0,12,19,18,7,5,1298,61,0,no,1363,1319,1262,9,0,48,0,0,0,44,44,0,0,0,0,0,0,1,0,0,0,0,0,0,090010601002
41,09,001,060100,1,090010601001,Block Group 1,G5030,S,3051269.000000000000000,0.000000000000000,+41.2169954,-073.2440304,273,274,1500000US090010601001,"Block Group 1, Census Tract 601, Fairfield County, Connecticut",1345,9,0,0,97,0,13,9,0,1217,128,0,no,2870,2837,2694,88,0,21,14,0,20,33,16,0,0,0,0,17,0,1,0,0,0,0,0,0,090010601001
42,09,001,060200,1,090010602001,Block Group 1,G5030,S,1855987.000000000000000,11817.000000000000000,+41.2154643,-073.2558653,275,276,1500000US090010602001,"Block Group 1, Census Tract 602, Fairfield County, Connecticut",1271,17,0,12,0,6,0,0,24,1212,59,0,no,1271,1229,1200,0,0,22,0,0,7,42,38,0,0,0,0,0,4,1,0,0,0,0,0,0,090010602001
43,09,001,060200,2,090010602002,Block Group 2,G5030,S,683271.000000000000000,0.000000000000000,+41.1974315,-073.2428201,276,277,1500000US090010602002,"Block Group 2, Census Tract 602, Fairfield County, Connecticut",1041,15,11,0,0,6,3,0,13,993,48,0,no,1041,1020,1003,3,0,14,0,0,0,21,21,0,0,0,0,0,0,1,0,0,0,0,0,0,090010602002
44,09,001,060200,3,090010602003,Block Group 3,G5030,S,955070.000000000000000,55916.000000000000000,+41.1927729,-073.2529286,277,278,1500000US090010602003,"Block Group 3, Census Tract 602, Fairfield County, Connecticut",982,0,13,7,0,0,7,13,0,942,40,0,no,982,923,917,0,0,0,0,6,0,59,59,0,0,0,0,0,0,1,0,0,0,0,0,0,090010602003
45,09,001,100200,2,090011002002,Block Group 2,G5030,S,3364272.000000000000000,0.000000000000000,+41.3087196,-073.2196826,498,499,1500000US090011002002,"Block Group 2, Census Tract 1002, Fairfield County, Connecticut",1392,0,14,26,0,0,9,26,44,1273,119,0,no,1392,1333,1320,0,0,0,0,0,13,59,37,0,0,0,0,22,0,1,0,0,0,0,0,0,090011002002
46,09,001,100200,1,090011002001,Block Group 1,G5030,S,5383896.000000000000000,15902.000000000000000,+41.3218481,-073.2023894,497,498,1500000US090011002001,"Block Group 1, Census Tract 1002, Fairfield County, Connecticut",2351,0,0,0,28,47,170,65,18,2023,328,0,no,2357,2352,2290,31,0,20,0,0,11,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,090011002001
47,09,001,100300,9,090011003009,Block Group 9,G5030,S,11014722.000000000000000,401919.000000000000000,+41.3684718,-073.1813547,502,503,1500000US090011003009,"Block Group 9, Census Tract 1003, Fairfield County, Connecticut",2027,46,38,5,15,116,15,51,20,1721,306,0,no,2027,1962,1931,0,0,21,0,0,10,65,51,0,0,0,0,14,0,1,0,0,0,0,0,0,090011003009
48,09,001,100300,1,090011003001,Block Group 1,G5030,S,15270715.000000000000000,24163.000000000000000,+41.3538836,-073.2227583,500,501,1500000US090011003001,"Block Group 1, Census Tract 1003, Fairfield County, Connecticut",2954,5,34,4,0,27,8,8,0,2868,86,0,no,2954,2831,2743,21,0,67,0,0,0,123,93,0,0,0,0,30,0,1,0,0,0,0,0,0,090011003001
49,09,001,110500,2,090011105002,Block Group 2,G5030,S,4462119.000000000000000,0.000000000000000,+41.3083583,-073.1860470,522,523,1500000US090011105002,"Block Group 2, Census Tract 1105, Fairfield County, Connecticut",1759,21,0,0,7,0,0,25,14,1692,67,0,no,1759,1726,1678,15,0,0,0,2,31,33,33,0,0,0,0,0,0,1,0,0,0,0,0,0,090011105002
50,09,001,230500,6,090012305006,Block Group 6,G5030,S,7181613.000000000000000,0.000000000000000,+41.3800882,-073.2182356,622,623,1500000US090012305006,"Block Group 6, Census Tract 2305, Fairfield County, Connecticut",1251,0,0,0,0,0,0,0,0,1251,0,0,no,1251,1251,1242,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090012305006
51,09,001,035100,5,090010351005,Block Group 5,G5030,S,2051518.000000000000000,0.000000000000000,+41.1458566,-073.5023141,156,157,1500000US090010351005,"Block Group 5, Census Tract 351, Fairfield County, Connecticut",1166,12,0,0,0,0,7,0,19,1128,38,0,no,1166,1135,1110,0,0,25,0,0,0,31,31,0,0,0,0,0,0,1,0,0,0,0,0,0,090010351005
52,09,001,035100,1,090010351001,Block Group 1,G5030,S,1026134.000000000000000,0.000000000000000,+41.1525367,-073.4928517,152,153,1500000US090010351001,"Block Group 1, Census Tract 351, Fairfield County, Connecticut",1833,24,0,39,17,8,17,8,0,1720,113,0,no,1833,1784,1663,28,0,84,9,0,0,49,49,0,0,0,0,0,0,1,0,0,0,0,0,0,090010351001
53,09,001,035100,3,090010351003,Block Group 3,G5030,S,1006029.000000000000000,0.000000000000000,+41.1399461,-073.4886252,154,155,1500000US090010351003,"Block Group 3, Census Tract 351, Fairfield County, Connecticut",1394,11,0,0,25,21,39,10,15,1273,121,0,no,1394,1394,1375,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090010351003
54,09,001,072400,2,090010724002,Block Group 2,G5030,S,323062.000000000000000,0.000000000000000,+41.2098006,-073.2056430,373,374,1500000US090010724002,"Block Group 2, Census Tract 724, Fairfield County, Connecticut",1471,57,7,77,55,67,32,92,77,1007,464,0,yes,1471,1014,564,436,0,0,0,6,8,457,317,40,0,0,0,91,9,0,0,0,0,0,0,0,090010724002
55,09,001,072500,4,090010725004,Block Group 4,G5030,S,427785.000000000000000,0.000000000000000,+41.2092971,-073.2224639,377,378,1500000US090010725004,"Block Group 4, Census Tract 725, Fairfield County, Connecticut",1541,55,17,9,44,87,73,0,0,1256,285,0,no,1541,1386,1035,133,0,124,0,41,53,155,78,37,0,0,0,40,0,1,0,0,0,0,0,0,090010725004
56,09,001,072500,1,090010725001,Block Group 1,G5030,S,477592.000000000000000,0.000000000000000,+41.2125574,-073.2154021,374,375,1500000US090010725001,"Block Group 1, Census Tract 725, Fairfield County, Connecticut",1811,43,8,68,59,36,117,52,66,1362,449,0,no,1811,1476,1168,284,0,0,0,13,11,335,200,9,0,0,0,126,0,1,0,0,0,0,0,0,090010725001
57,09,001,072500,3,090010725003,Block Group 3,G5030,S,334045.000000000000000,0.000000000000000,+41.2058717,-073.2195971,376,377,1500000US090010725003,"Block Group 3, Census Tract 725, Fairfield County, Connecticut",1257,4,0,15,18,62,0,22,174,962,295,0,no,1257,1042,684,219,0,93,0,0,46,215,171,0,0,0,0,44,0,1,0,0,0,0,0,0,090010725003
58,09,001,072500,2,090010725002,Block Group 2,G5030,S,206014.000000000000000,0.000000000000000,+41.2081850,-073.2121247,375,376,1500000US090010725002,"Block Group 2, Census Tract 725, Fairfield County, Connecticut",858,0,6,0,0,45,19,56,53,679,179,0,no,858,766,667,86,0,0,0,0,13,92,48,0,0,0,0,44,0,1,0,0,0,0,0,0,090010725002
59,09,001,072600,3,090010726003,Block Group 3,G5030,S,521966.000000000000000,0.000000000000000,+41.2162072,-073.2215812,380,381,1500000US090010726003,"Block Group 3, Census Tract 726, Fairfield County, Connecticut",1880,159,27,31,9,63,81,20,53,1437,443,0,no,1880,1663,1261,200,0,86,0,49,67,217,199,0,0,0,0,18,0,1,0,0,0,0,0,0,090010726003
60,09,001,072600,5,090010726005,Block Group 5,G5030,S,333509.000000000000000,0.000000000000000,+41.2120480,-073.2283497,382,383,1500000US090010726005,"Block Group 5, Census Tract 726, Fairfield County, Connecticut",967,140,16,26,30,20,9,19,27,680,287,0,no,1168,1131,1019,61,0,51,0,0,0,37,19,0,0,0,0,0,18,1,0,0,0,0,0,0,090010726005
61,09,001,072600,2,090010726002,Block Group 2,G5030,S,434365.000000000000000,0.000000000000000,+41.2220539,-073.2250739,379,380,1500000US090010726002,"Block Group 2, Census Tract 726, Fairfield County, Connecticut",1194,64,6,49,10,80,22,7,10,946,248,0,no,1215,1105,938,61,0,0,0,0,106,110,31,0,0,0,0,71,8,1,0,0,0,0,0,0,090010726002
62,09,001,090500,1,090010905001,Block Group 1,G5030,S,2498453.000000000000000,0.000000000000000,+41.2444943,-073.1518394,486,487,1500000US090010905001,"Block Group 1, Census Tract 905, Fairfield County, Connecticut",936,0,0,27,6,8,0,0,0,895,41,0,no,936,936,886,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090010905001
63,09,001,050100,2,090010501002,Block Group 2,G5030,S,2647629.000000000000000,41556.000000000000000,+41.1606676,-073.3808526,248,249,1500000US090010501002,"Block Group 2, Census Tract 501, Fairfield County, Connecticut",1033,15,0,7,11,6,0,0,0,994,39,0,no,1033,1033,1007,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,090010501002
64,09,001,090600,1,090010906001,Block Group 1,G5030,S,5039880.000000000000000,242227.000000000000000,+41.2558348,-073.1831443,490,491,1500000US090010906001,"Block Group 1, Census Tract 906, Fairfield County, Connecticut",1852,34,7,34,58,46,51,0,0,1622,230,0,no,1852,1834,1790,0,0,22,0,0,22,18,18,0,0,0,0,0,0,1,0,0,0,0,0,0,090010906001
65,09,001,090700,9,090010907009,Block Group 9,G5030,S,4788875.000000000000000,0.000000000000000,+41.2700663,-073.2086560,494,495,1500000US090010907009,"Block Group 9, Census Tract 907, Fairfield County, Connecticut",1637,23,20,25,0,0,6,24,40,1499,138,0,no,1637,1582,1540,7,0,35,0,0,0,55,55,0,0,0,0,0,0,1,0,0,0,0,0,0,090010907009
66,09,001,090700,2,090010907002,Block Group 2,G5030,S,3851675.000000000000000,7898.000000000000000,+41.2872282,-073.2153925,493,494,1500000US090010907002,"Block Group 2, Census Tract 907, Fairfield County, Connecticut",1419,12,0,0,0,6,13,13,0,1375,44,0,no,1419,1356,1299,5,0,46,0,0,6,63,47,10,0,0,0,6,0,1,0,0,0,0,0,0,090010907002
67,09,001,050100,1,090010501001,Block Group 1,G5030,S,3065384.000000000000000,21580.000000000000000,+41.1725185,-073.3736057,247,248,1500000US090010501001,"Block Group 1, Census Tract 501, Fairfield County, Connecticut",1144,25,5,4,0,14,0,0,0,1096,48,0,no,1144,1138,1102,0,0,36,0,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,090010501001
68,09,001,055100,2,090010551002,Block Group 2,G5030,S,4502207.000000000000000,0.000000000000000,+41.2218245,-073.3940409,268,269,1500000US090010551002,"Block Group 2, Census Tract 551, Fairfield County, Connecticut",1199,8,5,0,0,39,5,6,0,1136,63,0,no,1199,1183,1133,0,0,35,0,0,15,16,16,0,0,0,0,0,0,1,0,0,0,0,0,0,090010551002
